epoch,train_loss,val_loss,gap,train_accuracy,val_accuracy,,,Mit Augmentation (Basemodell),Ohne Augmentation,,,Mit Augmentation ,Ohne Augmentation
1,0.1924,0.1533,-0.039,12.95,12,,,0.1882,0.1924,,,0.1577,0.1533
2,0.1468,0.1438,-0.003,16.45,14.25,,,0.1395,0.1468,,,0.1361,0.1438
3,0.1323,0.134,0.0017,19.94,16.44,,,0.1286,0.1323,,,0.116,0.134
4,0.1224,0.135,0.0126,24.05,22.47,,,0.1206,0.1224,,,0.1109,0.135
5,0.1111,0.1135,0.0025,39.24,35.85,,,0.1141,0.1111,,,0.1076,0.1135
6,0.1027,0.1174,0.0147,40.26,37.16,,,0.1062,0.1027,,,0.1001,0.1174
7,0.0928,0.108,0.0152,53.61,47.93,,,0.1004,0.0928,,,0.0998,0.108
8,0.085,0.1031,0.0182,53.54,47.35,,,0.096,0.085,,,0.0958,0.1031
9,0.0759,0.1037,0.0278,57.76,48.15,,,0.0897,0.0759,,,0.0853,0.1037
10,0.0704,0.0993,0.0289,66.71,56.65,,,0.0851,0.0704,,,0.0887,0.0993
